relative_path,top_level,filename,extension,category,size_bytes,size_mb,modified_utc
experiments/results/rice/rice_mobilenetv2_grouped_v1/test_per_class_metrics.csv,experiments,test_per_class_metrics.csv,.csv,tabular data,513,0.0005,2026-07-30T14:42:22.008164+00:00
experiments/results/rice/rice_mobilenetv2_grouped_v1/test_predictions.csv,experiments,test_predictions.csv,.csv,tabular data,876113,0.8355,2026-07-30T14:42:22.070747+00:00
experiments/results/rice/rice_mobilenetv2_grouped_v1/validation_confusion_matrix.csv,experiments,validation_confusion_matrix.csv,.csv,tabular data,230,0.0002,2026-07-30T14:42:22.078671+00:00
experiments/results/rice/rice_mobilenetv2_grouped_v1/validation_confusion_matrix.png,experiments,validation_confusion_matrix.png,.png,image,92934,0.0886,2026-07-30T14:42:22.104401+00:00
experiments/results/rice/rice_mobilenetv2_grouped_v1/validation_evaluation.json,experiments,validation_evaluation.json,.json,structured data,1789,0.0017,2026-07-30T14:42:22.113724+00:00
experiments/results/rice/rice_mobilenetv2_grouped_v1/validation_per_class_metrics.csv,experiments,validation_per_class_metrics.csv,.csv,tabular data,528,0.0005,2026-07-30T14:42:22.126762+00:00
experiments/results/rice/rice_mobilenetv2_grouped_v1/validation_predictions.csv,experiments,validation_predictions.csv,.csv,tabular data,916714,0.8742,2026-07-30T14:42:22.189716+00:00
experiments/results/rice/rice_resnet18_grouped_v1/confusion_matrix.png,experiments,confusion_matrix.png,.png,image,91532,0.0873,2026-07-30T14:42:22.224380+00:00
experiments/results/rice/rice_resnet18_grouped_v1/history.json,experiments,history.json,.json,structured data,2537,0.0024,2026-07-30T14:42:22.240426+00:00
experiments/results/rice/rice_resnet18_grouped_v1/history_final.json,experiments,history_final.json,.json,structured data,2537,0.0024,2026-07-30T14:42:22.251184+00:00
experiments/results/rice/rice_resnet18_grouped_v1/metrics.json,experiments,metrics.json,.json,structured data,2251,0.0021,2026-07-30T14:42:22.264184+00:00
experiments/results/rice/rice_resnet18_grouped_v1/metrics_final.json,experiments,metrics_final.json,.json,structured data,2251,0.0021,2026-07-30T14:42:22.277028+00:00
experiments/results/rice/rice_resnet18_grouped_v1/split_summary.json,experiments,split_summary.json,.json,structured data,980,0.0009,2026-07-30T14:42:22.289882+00:00
experiments/results/rice/rice_resnet18_grouped_v1/test_confusion_matrix.csv,experiments,test_confusion_matrix.csv,.csv,tabular data,230,0.0002,2026-07-30T14:42:22.300793+00:00
experiments/results/rice/rice_resnet18_grouped_v1/test_confusion_matrix.png,experiments,test_confusion_matrix.png,.png,image,91705,0.0875,2026-07-30T14:42:22.320107+00:00
experiments/results/rice/rice_resnet18_grouped_v1/test_evaluation.json,experiments,test_evaluation.json,.json,structured data,1787,0.0017,2026-07-30T14:42:22.330933+00:00
experiments/results/rice/rice_resnet18_grouped_v1/test_per_class_metrics.csv,experiments,test_per_class_metrics.csv,.csv,tabular data,531,0.0005,2026-07-30T14:42:22.345470+00:00
experiments/results/rice/rice_resnet18_grouped_v1/test_predictions.csv,experiments,test_predictions.csv,.csv,tabular data,876118,0.8355,2026-07-30T14:42:22.398290+00:00
experiments/results/rice/rice_resnet18_grouped_v1/validation_confusion_matrix.csv,experiments,validation_confusion_matrix.csv,.csv,tabular data,230,0.0002,2026-07-30T14:42:22.407960+00:00
experiments/results/rice/rice_resnet18_grouped_v1/validation_confusion_matrix.png,experiments,validation_confusion_matrix.png,.png,image,93496,0.0892,2026-07-30T14:42:22.429823+00:00
experiments/results/rice/rice_resnet18_grouped_v1/validation_evaluation.json,experiments,validation_evaluation.json,.json,structured data,1822,0.0017,2026-07-30T14:42:22.438704+00:00
experiments/results/rice/rice_resnet18_grouped_v1/validation_per_class_metrics.csv,experiments,validation_per_class_metrics.csv,.csv,tabular data,560,0.0005,2026-07-30T14:42:22.450088+00:00
experiments/results/rice/rice_resnet18_grouped_v1/validation_predictions.csv,experiments,validation_predictions.csv,.csv,tabular data,916709,0.8742,2026-07-30T14:42:22.515070+00:00
experiments/results/tables/rice_architecture_evaluation.csv,experiments,rice_architecture_evaluation.csv,.csv,tabular data,408,0.0004,2026-07-30T14:42:22.533975+00:00
experiments/results/tables/rice_fedavg_mobilenetv2_comparison.csv,experiments,rice_fedavg_mobilenetv2_comparison.csv,.csv,tabular data,355,0.0003,2026-07-30T14:42:22.542884+00:00
experiments/results/tables/rice_model_efficiency.csv,experiments,rice_model_efficiency.csv,.csv,tabular data,234,0.0002,2026-07-30T14:42:22.552446+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/evaluation_summary.csv,experiments,evaluation_summary.csv,.csv,tabular data,291,0.0003,2026-07-30T14:42:22.584606+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/history.json,experiments,history.json,.json,structured data,2995,0.0029,2026-07-30T14:42:22.601396+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/metrics.json,experiments,metrics.json,.json,structured data,7103,0.0068,2026-07-30T14:42:22.617187+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/test_07_confusion_matrix.csv,experiments,test_07_confusion_matrix.csv,.csv,tabular data,327,0.0003,2026-07-30T14:42:22.631034+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/test_07_confusion_matrix.png,experiments,test_07_confusion_matrix.png,.png,image,136366,0.13,2026-07-30T14:42:22.652921+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/test_07_per_class_metrics.csv,experiments,test_07_per_class_metrics.csv,.csv,tabular data,603,0.0006,2026-07-30T14:42:22.662019+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/test_07_predictions.csv,experiments,test_07_predictions.csv,.csv,tabular data,6905671,6.5858,2026-07-30T14:42:23.077418+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/test_confusion_matrix.csv,experiments,test_confusion_matrix.csv,.csv,tabular data,326,0.0003,2026-07-30T14:42:23.084935+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/test_confusion_matrix.png,experiments,test_confusion_matrix.png,.png,image,140646,0.1341,2026-07-30T14:42:23.106684+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/test_per_class_metrics.csv,experiments,test_per_class_metrics.csv,.csv,tabular data,602,0.0006,2026-07-30T14:42:23.116184+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/test_predictions.csv,experiments,test_predictions.csv,.csv,tabular data,9191029,8.7652,2026-07-30T14:42:23.506979+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/validation_confusion_matrix.csv,experiments,validation_confusion_matrix.csv,.csv,tabular data,317,0.0003,2026-07-30T14:42:23.515694+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/validation_confusion_matrix.png,experiments,validation_confusion_matrix.png,.png,image,136330,0.13,2026-07-30T14:42:23.532733+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/validation_per_class_metrics.csv,experiments,validation_per_class_metrics.csv,.csv,tabular data,601,0.0006,2026-07-30T14:42:23.536714+00:00
experiments/results/wheat/wheat_resnet18_grouped_v2/validation_predictions.csv,experiments,validation_predictions.csv,.csv,tabular data,6613011,6.3067,2026-07-30T14:42:23.765520+00:00
experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/evaluation_summary.csv,experiments,evaluation_summary.csv,.csv,tabular data,327,0.0003,2026-07-30T14:42:23.772441+00:00
experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/history.json,experiments,history.json,.json,structured data,2994,0.0029,2026-07-30T14:42:23.779543+00:00
experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/metrics.json,experiments,metrics.json,.json,structured data,7055,0.0067,2026-07-30T14:42:23.784626+00:00
experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_07_confusion_matrix.csv,experiments,test_07_confusion_matrix.csv,.csv,tabular data,325,0.0003,2026-07-30T14:42:23.790320+00:00
experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_07_confusion_matrix.png,experiments,test_07_confusion_matrix.png,.png,image,138013,0.1316,2026-07-30T14:42:23.800739+00:00
experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_07_per_class_metrics.csv,experiments,test_07_per_class_metrics.csv,.csv,tabular data,564,0.0005,2026-07-30T14:42:23.805535+00:00
experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_07_predictions.csv,experiments,test_07_predictions.csv,.csv,tabular data,6903098,6.5833,2026-07-30T14:42:23.987788+00:00
experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_confusion_matrix.csv,experiments,test_confusion_matrix.csv,.csv,tabular data,326,0.0003,2026-07-30T14:42:23.993219+00:00
experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_confusion_matrix.png,experiments,test_confusion_matrix.png,.png,image,142552,0.1359,2026-07-30T14:42:24.006721+00:00
experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_per_class_metrics.csv,experiments,test_per_class_metrics.csv,.csv,tabular data,601,0.0006,2026-07-30T14:42:24.013862+00:00
experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/test_predictions.csv,experiments,test_predictions.csv,.csv,tabular data,9189570,8.7639,2026-07-30T14:42:24.265460+00:00
experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/validation_confusion_matrix.csv,experiments,validation_confusion_matrix.csv,.csv,tabular data,311,0.0003,2026-07-30T14:42:24.269781+00:00
experiments/results/wheat/wheat_resnet18_grouped_v3_sqrt_weights/validation_confusion_matrix.png,experiments,validation_confusion_matrix.png,.png,image,133098,0.1269,2026-07-30T14:42:24.277596+00:00
